delta_total,delta_total_norm,delta_version,fallback_count,key,matched_key,missing_count,status
480.54766845703125,3.397984743118286,best_feasible_reinsert_v1,0,solomon_dataset_57_RC_narrow_1777582045.txt,solomon_dataset_57_RC_narrow_1777582045,0,updated
417.8522644042969,2.9546616077423096,best_feasible_reinsert_v1,0,solomon_dataset_65_R_narrow_1777582045.txt,solomon_dataset_65_R_narrow_1777582045,0,updated
66.95160675048828,0.47341933846473694,best_feasible_reinsert_v1,0,solomon_dataset_1_C_wide_1777582045.txt,solomon_dataset_1_C_wide_1777582045,0,updated
295.95184326171875,2.092695713043213,best_feasible_reinsert_v1,0,solomon_dataset_42_R_wide_1777582045.txt,solomon_dataset_42_R_wide_1777582045,0,updated
53.2044792175293,0.3762124180793762,best_feasible_reinsert_v1,0,solomon_dataset_54_C_wide_1777582045.txt,solomon_dataset_54_C_wide_1777582045,0,updated
267.2673645019531,1.8898656368255615,best_feasible_reinsert_v1,0,solomon_dataset_0_R_wide_1777582045.txt,solomon_dataset_0_R_wide_1777582045,0,updated
373.4909362792969,2.6409800052642822,best_feasible_reinsert_v1,0,solomon_dataset_70_R_narrow_1777582045.txt,solomon_dataset_70_R_narrow_1777582045,0,updated
313.8448486328125,2.2192182540893555,best_feasible_reinsert_v1,0,solomon_dataset_61_C_narrow_1777582045.txt,solomon_dataset_61_C_narrow_1777582045,0,updated
607.8805541992188,4.298364162445068,best_feasible_reinsert_v1,0,solomon_dataset_9_R_narrow_1777582045.txt,solomon_dataset_9_R_narrow_1777582045,0,updated
564.093994140625,3.9887466430664062,best_feasible_reinsert_v1,0,solomon_dataset_69_R_narrow_1777582045.txt,solomon_dataset_69_R_narrow_1777582045,0,updated
512.0548706054688,3.620774984359741,best_feasible_reinsert_v1,0,solomon_dataset_78_R_narrow_1777582045.txt,solomon_dataset_78_R_narrow_1777582045,0,updated
106.0489273071289,0.7498791217803955,best_feasible_reinsert_v1,0,solomon_dataset_40_C_wide_1777582045.txt,solomon_dataset_40_C_wide_1777582045,0,updated
365.0771484375,2.5814852714538574,best_feasible_reinsert_v1,0,solomon_dataset_5_R_wide_1777582045.txt,solomon_dataset_5_R_wide_1777582045,0,updated
280.64208984375,1.9844391345977783,best_feasible_reinsert_v1,0,solomon_dataset_80_C_narrow_1777582045.txt,solomon_dataset_80_C_narrow_1777582045,0,updated
256.8918762207031,1.8164998292922974,best_feasible_reinsert_v1,0,solomon_dataset_39_C_narrow_1777582045.txt,solomon_dataset_39_C_narrow_1777582045,0,updated
94.46603393554688,0.6679757833480835,best_feasible_reinsert_v1,0,solomon_dataset_73_C_wide_1777582045.txt,solomon_dataset_73_C_wide_1777582045,0,updated
316.9295959472656,2.24103045463562,best_feasible_reinsert_v1,0,solomon_dataset_12_R_wide_1777582045.txt,solomon_dataset_12_R_wide_1777582045,0,updated
113.24571990966797,0.8007681369781494,best_feasible_reinsert_v1,0,solomon_dataset_84_C_wide_1777582045.txt,solomon_dataset_84_C_wide_1777582045,0,updated
229.0927276611328,1.6199302673339844,best_feasible_reinsert_v1,0,solomon_dataset_86_C_narrow_1777582045.txt,solomon_dataset_86_C_narrow_1777582045,0,updated
93.79158020019531,0.6632065773010254,best_feasible_reinsert_v1,0,solomon_dataset_88_C_wide_1777582045.txt,solomon_dataset_88_C_wide_1777582045,0,updated
620.4749755859375,4.387420654296875,best_feasible_reinsert_v1,0,solomon_dataset_71_R_narrow_1777582045.txt,solomon_dataset_71_R_narrow_1777582045,0,updated
339.8558349609375,2.4031434059143066,best_feasible_reinsert_v1,0,solomon_dataset_38_R_wide_1777582045.txt,solomon_dataset_38_R_wide_1777582045,0,updated
310.8593444824219,2.1981074810028076,best_feasible_reinsert_v1,0,solomon_dataset_76_RC_narrow_1777582045.txt,solomon_dataset_76_RC_narrow_1777582045,0,updated
508.5329284667969,3.5958709716796875,best_feasible_reinsert_v1,0,solomon_dataset_89_R_narrow_1777582045.txt,solomon_dataset_89_R_narrow_1777582045,0,updated
172.69540405273438,1.221140742301941,best_feasible_reinsert_v1,0,solomon_dataset_29_RC_wide_1777582045.txt,solomon_dataset_29_RC_wide_1777582045,0,updated
353.94366455078125,2.5027599334716797,best_feasible_reinsert_v1,0,solomon_dataset_55_R_wide_1777582045.txt,solomon_dataset_55_R_wide_1777582045,0,updated
347.290283203125,2.4557132720947266,best_feasible_reinsert_v1,0,solomon_dataset_92_RC_narrow_1777582045.txt,solomon_dataset_92_RC_narrow_1777582045,0,updated
133.6995086669922,0.945398211479187,best_feasible_reinsert_v1,0,solomon_dataset_58_C_wide_1777582045.txt,solomon_dataset_58_C_wide_1777582045,0,updated
280.4344482421875,1.9829710721969604,best_feasible_reinsert_v1,0,solomon_dataset_64_C_wide_1777582045.txt,solomon_dataset_64_C_wide_1777582045,0,updated
427.900634765625,3.025714159011841,best_feasible_reinsert_v1,0,solomon_dataset_37_R_wide_1777582045.txt,solomon_dataset_37_R_wide_1777582045,0,updated
111.84483337402344,0.7908624410629272,best_feasible_reinsert_v1,0,solomon_dataset_75_C_narrow_1777582045.txt,solomon_dataset_75_C_narrow_1777582045,0,updated
302.290771484375,2.1375184059143066,best_feasible_reinsert_v1,0,solomon_dataset_62_R_wide_1777582045.txt,solomon_dataset_62_R_wide_1777582045,0,updated
446.364013671875,3.1562705039978027,best_feasible_reinsert_v1,0,solomon_dataset_94_RC_narrow_1777582045.txt,solomon_dataset_94_RC_narrow_1777582045,0,updated
240.94149780273438,1.7037137746810913,best_feasible_reinsert_v1,0,solomon_dataset_85_C_narrow_1777582045.txt,solomon_dataset_85_C_narrow_1777582045,0,updated
353.1355895996094,2.4970457553863525,best_feasible_reinsert_v1,0,solomon_dataset_74_R_wide_1777582045.txt,solomon_dataset_74_R_wide_1777582045,0,updated
371.1476135253906,2.6244094371795654,best_feasible_reinsert_v1,0,solomon_dataset_82_RC_narrow_1777582045.txt,solomon_dataset_82_RC_narrow_1777582045,0,updated
311.33514404296875,2.201472043991089,best_feasible_reinsert_v1,0,solomon_dataset_67_R_wide_1777582045.txt,solomon_dataset_67_R_wide_1777582045,0,updated
195.92831420898438,1.3854223489761353,best_feasible_reinsert_v1,0,solomon_dataset_59_RC_wide_1777582045.txt,solomon_dataset_59_RC_wide_1777582045,0,updated
420.8800964355469,2.976071357727051,best_feasible_reinsert_v1,0,solomon_dataset_96_RC_narrow_1777582045.txt,solomon_dataset_96_RC_narrow_1777582045,0,updated
358.6442565917969,2.5359978675842285,best_feasible_reinsert_v1,0,solomon_dataset_81_R_wide_1777582045.txt,solomon_dataset_81_R_wide_1777582045,0,updated
208.79470825195312,1.4764015674591064,best_feasible_reinsert_v1,0,solomon_dataset_105_C_narrow_1777582045.txt,solomon_dataset_105_C_narrow_1777582045,0,updated
538.6846313476562,3.8090760707855225,best_feasible_reinsert_v1,0,solomon_dataset_102_RC_narrow_1777582045.txt,solomon_dataset_102_RC_narrow_1777582045,0,updated
243.67144775390625,1.7230172157287598,best_feasible_reinsert_v1,0,solomon_dataset_48_RC_wide_1777582045.txt,solomon_dataset_48_RC_wide_1777582045,0,updated
222.5173797607422,1.5734355449676514,best_feasible_reinsert_v1,0,solomon_dataset_106_C_narrow_1777582045.txt,solomon_dataset_106_C_narrow_1777582045,0,updated
472.47552490234375,3.3409061431884766,best_feasible_reinsert_v1,0,solomon_dataset_111_RC_narrow_1777582045.txt,solomon_dataset_111_RC_narrow_1777582045,0,updated
501.8103942871094,3.548335313796997,best_feasible_reinsert_v1,0,solomon_dataset_99_R_narrow_1777582045.txt,solomon_dataset_99_R_narrow_1777582045,0,updated
128.18446350097656,0.9064010381698608,best_feasible_reinsert_v1,0,solomon_dataset_16_C_wide_1777582045.txt,solomon_dataset_16_C_wide_1777582045,0,updated
354.839111328125,2.509091377258301,best_feasible_reinsert_v1,0,solomon_dataset_72_R_wide_1777582045.txt,solomon_dataset_72_R_wide_1777582045,0,updated
194.03677368164062,1.3720470666885376,best_feasible_reinsert_v1,0,solomon_dataset_113_C_narrow_1777582045.txt,solomon_dataset_113_C_narrow_1777582045,0,updated
